key,name_key,name,position,consensus_adp,n_sources,ESPN,FootballGuys,CBS,DraftKings,Drafters,MFL,NFFC,Underdog,Sleeper,consensus_rank
jahmyrgibbs,jahmyrgibbs,Jahmyr Gibbs,RB,1.09,8,1.71,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
bijanrobinson,bijanrobinson,Bijan Robinson,RB,2.07,8,2.54,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
jamarrchase,jamarrchase,Ja'Marr Chase,WR,3.33,8,4.63,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0
pukanacua,pukanacua,Puka Nacua,WR,3.96,8,3.68,4.0,4.0,4.0,4.0,5.0,4.0,4.0,3.0,4.0
jaxonsmithnjigba,jaxonsmithnjigba,Jaxon Smith-Njigba,WR,5.37,8,5.97,5.0,5.0,5.0,5.0,6.0,5.0,5.0,6.0,5.0
amonrastbrown,amonrastbrown,Amon-Ra St. Brown,WR,7.13,8,8.05,7.0,8.0,7.0,7.0,7.0,6.0,7.0,7.0,6.0
christianmccaffrey,christianmccaffrey,Christian McCaffrey,RB,7.38,8,6.0,6.0,7.0,6.0,6.0,16.0,7.0,6.0,5.0,7.0
jonathantaylor,jonathantaylor,Jonathan Taylor,RB,8.66,8,8.24,8.0,6.0,8.0,10.0,12.0,9.0,8.0,8.0,8.0
ceedeelamb,ceedeelamb,CeeDee Lamb,WR,10.7,8,10.63,12.0,9.0,10.0,11.0,15.0,12.0,9.0,9.0,9.0
justinjefferson,justinjefferson,Justin Jefferson,WR,11.13,8,12.02,11.0,15.0,9.0,9.0,14.0,10.0,10.0,10.0,10.0
ashtonjeanty,ashtonjeanty,Ashton Jeanty,RB,11.59,8,16.71,9.0,13.0,12.0,8.0,11.0,8.0,11.0,13.0,11.0
jamescook,jamescook,James Cook III,RB,12.51,8,14.07,10.0,11.0,11.0,12.0,17.0,11.0,12.0,12.0,12.0
devonachane,devonachane,De'Von Achane,RB,15.6,8,12.83,13.0,10.0,18.0,18.0,18.0,20.0,17.0,11.0,13.0
saquonbarkley,saquonbarkley,Saquon Barkley,RB,16.08,8,16.61,14.0,17.0,13.0,13.0,24.0,18.0,13.0,14.0,14.0
omarionhampton,omarionhampton,Omarion Hampton,RB,16.57,8,20.56,15.0,16.0,14.0,14.0,22.0,13.0,14.0,19.0,15.0
drakelondon,drakelondon,Drake London,WR,18.57,8,19.58,17.0,14.0,21.0,20.0,21.0,16.0,20.0,17.0,16.0
brockbowers,brockbowers,Brock Bowers,TE,19.54,8,23.34,18.0,25.0,20.0,19.0,8.0,19.0,21.0,21.0,17.0
chasebrown,chasebrown,Chase Brown,RB,19.59,8,26.75,16.0,12.0,17.0,16.0,29.0,14.0,16.0,26.0,18.0
kenwalker,kenwalker,Ken Walker,,19.83,6,,19.0,23.0,15.0,15.0,34.0,17.0,15.0,,19.0
ajbrown,ajbrown,A.J. Brown,WR,21.69,8,26.54,20.0,22.0,16.0,17.0,33.0,15.0,19.0,25.0,20.0
derrickhenry,derrickhenry,Derrick Henry,RB,21.88,8,20.0,21.0,18.0,19.0,21.0,36.0,25.0,18.0,18.0,21.0
treymcbride,treymcbride,Trey McBride,TE,22.26,8,19.09,23.0,26.0,25.0,29.0,9.0,26.0,28.0,16.0,22.0
nicocollins,nicocollins,Nico Collins,WR,23.69,8,26.53,22.0,20.0,22.0,22.0,32.0,22.0,22.0,23.0,23.0
jeremiyahlove,jeremiyahlove,Jeremiyah Love,RB,24.2,8,17.58,25.0,29.0,27.0,26.0,25.0,30.0,24.0,15.0,24.0
georgepickens,georgepickens,George Pickens,WR,24.46,8,27.71,24.0,21.0,23.0,25.0,28.0,21.0,23.0,27.0,25.0
joshallen,joshallen,Josh Allen,QB,25.0,8,23.03,27.0,27.0,26.0,27.0,4.0,38.0,35.0,20.0,26.0
rasheerice,rasheerice,Rashee Rice,WR,25.45,8,23.59,26.0,19.0,24.0,24.0,42.0,24.0,25.0,22.0,27.0
kennethwalkeriii,kennethwalkeriii,Kenneth Walker III,RB,28.31,2,28.63,,,,,,,,28.0,28.0
chrisolave,chrisolave,Chris Olave,WR,31.11,8,34.91,28.0,30.0,29.0,28.0,40.0,28.0,29.0,30.0,29.0
devontasmith,devontasmith,DeVonta Smith,WR,31.7,8,37.58,29.0,34.0,28.0,23.0,46.0,27.0,26.0,32.0,30.0
breecehall,breecehall,Breece Hall,RB,33.08,8,32.64,30.0,31.0,33.0,33.0,43.0,36.0,27.0,29.0,31.0
kyrenwilliams,kyrenwilliams,Kyren Williams,RB,33.83,8,39.66,31.0,28.0,30.0,31.0,37.0,39.0,31.0,35.0,32.0
emekaegbuka,emekaegbuka,Emeka Egbuka,WR,34.88,8,42.05,32.0,36.0,31.0,32.0,44.0,23.0,33.0,38.0,33.0
zayflowers,zayflowers,Zay Flowers,WR,36.52,8,43.13,33.0,38.0,32.0,30.0,50.0,29.0,30.0,40.0,34.0
joshjacobs,joshjacobs,Josh Jacobs,RB,37.15,8,26.17,36.0,24.0,42.0,41.0,57.0,42.0,41.0,24.0,35.0
garrettwilson,garrettwilson,Garrett Wilson,WR,37.91,8,35.27,39.0,41.0,37.0,36.0,49.0,34.0,40.0,31.0,36.0
maliknabers,maliknabers,Malik Nabers,WR,37.98,8,41.84,38.0,32.0,38.0,44.0,30.0,44.0,38.0,36.0,37.0
cameronskattebo,cameronskattebo,Cameron Skattebo,RB,39.0,1,,,,,,,,,39.0,38.0
javontewilliams,javontewilliams,Javonte Williams,RB,39.04,8,37.35,34.0,37.0,36.0,37.0,55.0,40.0,37.0,33.0,39.0
tetairoamcmillan,tetairoamcmillan,Tetairoa McMillan,WR,39.7,8,40.61,37.0,42.0,43.0,43.0,41.0,32.0,39.0,37.0,40.0
colstonloveland,colstonloveland,Colston Loveland,TE,40.39,8,45.11,42.0,40.0,39.0,40.0,26.0,45.0,47.0,41.0,41.0
teehiggins,teehiggins,Tee Higgins,WR,40.92,8,54.38,35.0,33.0,35.0,35.0,60.0,31.0,32.0,47.0,42.0
laddmcconkey,laddmcconkey,Ladd McConkey,WR,42.92,8,56.33,40.0,46.0,34.0,34.0,53.0,33.0,36.0,51.0,43.0
travisetienne,travisetienne,Travis Etienne Jr.,RB,44.83,8,46.63,41.0,39.0,41.0,42.0,63.0,50.0,34.0,43.0,44.0
camskattebo,camskattebo,Cam Skattebo,RB,44.93,7,43.49,43.0,35.0,44.0,46.0,56.0,47.0,43.0,,45.0
lamarjackson,lamarjackson,Lamar Jackson,QB,45.19,8,39.53,57.0,45.0,54.0,50.0,13.0,71.0,55.0,34.0,46.0
jaylenwaddle,jaylenwaddle,Jaylen Waddle,WR,48.46,8,59.66,44.0,51.0,40.0,38.0,68.0,35.0,42.0,54.0,47.0
drakemaye,drakemaye,Drake Maye,QB,51.27,8,48.19,60.0,48.0,63.0,66.0,10.0,65.0,65.0,45.0,48.0
terrymclaurin,terrymclaurin,Terry McLaurin,WR,51.3,8,58.4,46.0,49.0,46.0,39.0,80.0,41.0,45.0,52.0,49.0
davanteadams,davanteadams,Davante Adams,WR,52.11,8,45.84,47.0,61.0,49.0,48.0,74.0,48.0,49.0,42.0,50.0
tylerwarren,tylerwarren,Tyler Warren,TE,52.98,8,46.8,55.0,55.0,61.0,61.0,35.0,57.0,64.0,44.0,51.0
quinshonjudkins,quinshonjudkins,Quinshon Judkins,RB,53.51,8,54.07,51.0,43.0,56.0,57.0,58.0,59.0,53.0,48.0,52.0
lutherburden,lutherburden,Luther Burden III,WR,53.64,8,76.1,45.0,50.0,45.0,45.0,65.0,37.0,44.0,67.0,53.0
joeburrow,joeburrow,Joe Burrow,QB,55.96,8,58.66,62.0,58.0,58.0,69.0,19.0,64.0,68.0,53.0,54.0
buckyirving,buckyirving,Bucky Irving,RB,56.79,8,55.35,50.0,44.0,60.0,59.0,70.0,63.0,54.0,49.0,55.0
jamesonwilliams,jamesonwilliams,Jameson Williams,WR,56.85,8,66.78,56.0,57.0,52.0,54.0,71.0,46.0,50.0,58.0,56.0
treveyonhenderson,treveyonhenderson,TreVeyon Henderson,RB,57.61,8,64.9,49.0,54.0,57.0,58.0,66.0,54.0,52.0,55.0,57.0
jaydendaniels,jaydendaniels,Jayden Daniels,QB,57.62,8,51.98,66.0,65.0,69.0,62.0,20.0,81.0,66.0,46.0,58.0
